name	chromosome	start	end	ref_ce	options
D1S1656	1	230769683	230769555	17	
TPOX	2	1489653	1489689	8	
D2S441	2	68011918	68012017	12	
D2S1338	2	218014964	218014856	23	
D3S1358	3	45540691	45540820	16	
D4S2408	4	31302792	31302841	9	
FGA	4	154587840	154587713	22	
D5S818	5	123775606	123775543	11	
CSF1PO	5	150076389	150076318	13	
D6S1043	6	91740292	91740160	12	
D7S820	7	84160297	84160191	13	
D8S1179	8	124894865	124894921	13	
D9S1122	9	77073809	77073880	12	
D10S1248	10	129294226	129294318	13	
TH01	11	2171056	2171127	7	
vWA	12	5984049	5983950	17	
D12S391	12	12296981	12297189	19	
D13S317	13	82147986	82148107	11	
PentaE	15	96831039	96830996	5	limit=197
D16S539	16	86352664	86352781	11	
D17S1301	17	74684846	74684918	12	
D18S51	18	63281662	63281796	18	
D19S433	19	29926352	29926205	14	
D20S482	20	4525674	4525771	14	
D21S11	21	19181939	19182111	29	
PentaD	21	43636100	43636322	13	
D22S1045	22	37140181	37140357	17	
DXS10135	X	9338302	9338520	23	limit=258
DXS8378	X	9402373	9402206	10	limit=168
DXS7132	X	65435623	65435778	14	
DXS10074	X	67757300	67757464	14	
DXS10103	X	134284908	134285040	19	
HPRTB	X	134481588	134481429	13	
DXS7423	X	150542606	150542462	15	
DYS505	Y	3772729	3772861	12	
DYS570	Y	6993190	6993271	17	
DYS576	Y	7185281	7185424	17	
DYS522	Y	7547578	7547646	10	limit=253
DYS481	Y	8558313	8558408	22	
DYS19	Y	9684443	9684267	15	limit=237
DYS391	Y	11982074	11982165	11	
DYS635	Y	12258975	12258755	23	
DYS437	Y	12346255	12346431	15	
DYS439	Y	12403461	12403587	12	
DYS389I	Y	12500513	12500387	12	
DYS389II	Y	12500633	12500448	29	
DYS438	Y	12825876	12825984	12	
DYS612	Y	13640705	13640937	30	
DYS390	Y	15163170	15162996	24	limit=254
DYS643	Y	15314082	15314203	11	
DYS533	Y	16281285	16281417	12	
Y-GATA-H4	Y	16631759	16631624	12	
DYS385a-b	Y	18639898	18639698	11	
DYS460	Y	18889046	18888814	10	limit=233
DYS549	Y	19358277	19358438	13	
DYS392	Y	20472025	20471958	13	limit=177
DYS448	Y	22218904	22219102	19	limit=199
DYF387S1	Y	23785347	23785521	35	
